llm,round,composite_score
claude3.5,1,-81.50131935487471
claude3.5,2,155.24485408770872
claude3.5,3,188.9193735009137
claude3.5,4,102.32317554728576
claude3.5,5,164.38184204617406
gemini2.5,1,212.464735527727
gemini2.5,2,183.05110039166865
gemini2.5,3,154.1147061781263
gemini2.5,4,109.35067574031834
gemini2.5,5,189.94982749926072
gpt5,1,97.86420550403253
gpt5,2,-23.56952529907261
gpt5,3,92.74485884975147
gpt5,4,81.6131114623063
gpt5,5,157.4423138506549
llama3_1b,1,-46.2507861871664
llama3_1b,2,-48.84391254640701
llama3_1b,3,-69.5224634387934
llama3_1b,4,-58.65989532885057
llama3_1b,5,65.0604582552693
llama3_8b,1,13.43892000533404
llama3_8b,2,-21.062533302147187
llama3_8b,3,60.234994659721266
llama3_8b,4,51.517127511890436
llama3_8b,5,142.56669554086278
mistral,1,-112.7265336992597
mistral,2,-83.25062719381307
mistral,3,-124.3402392951171
mistral,4,-91.30916970419557
mistral,5,-31.730895012527697
phi3_14b,1,-66.62623467587139
phi3_14b,2,-67.8456181013803
phi3_14b,3,-114.47448452823133
phi3_14b,4,-268.9400618465748
phi3_14b,5,23.172967243858267
phi3_8b,1,-394.4871021224596
phi3_8b,2,-1024.6647914975129
phi3_8b,3,-909.8983142471859
phi3_8b,4,16.121164187841828
phi3_8b,5,-83.29986451113425
qwen_14b,1,-3.276445522773315
qwen_14b,2,90.0464984328522
qwen_14b,3,100.77765776663225
qwen_14b,4,118.79456107367676
qwen_14b,5,179.80382643732216
