llm,round,composite_score
claude3.5,1,141.51839173505422
claude3.5,2,107.16083477575005
claude3.5,3,104.34524991109686
claude3.5,4,124.92725203812262
claude3.5,5,51.102833425440934
gemini2.5,1,238.3796159049677
gemini2.5,2,105.64681218777001
gemini2.5,3,76.50775921483668
gemini2.5,4,64.67693690767807
gemini2.5,5,61.474581638599886
gpt5,1,167.8989093015054
gpt5,2,83.81873274651466
gpt5,3,94.03957728775364
gpt5,4,13.885361613748955
gpt5,5,24.954769877346536
llama3_1b,1,-31.800740629878746
llama3_1b,2,32.38156450170867
llama3_1b,3,-46.98145581099581
llama3_1b,4,4.976158065793953
llama3_1b,5,-0.7234084766876094
llama3_8b,1,114.31468641653063
llama3_8b,2,64.94327887100148
llama3_8b,3,-135.25187935028157
llama3_8b,4,83.08774784368276
llama3_8b,5,49.62897001049805
mistral,1,41.59628653030728
mistral,2,-81.22705382778605
mistral,3,18.92681586177929
mistral,4,60.779842599705745
mistral,5,-45.027563062661855
phi3_14b,1,157.05169398091414
phi3_14b,2,77.9951006909445
phi3_14b,3,-129.99546926277475
phi3_14b,4,47.25378772010306
phi3_14b,5,-136.10603675933194
phi3_8b,1,72.90948306306494
phi3_8b,2,-264.7400212507156
phi3_8b,3,-266.7822963500808
phi3_8b,4,-28.953938658027397
phi3_8b,5,-57.20643061054588
qwen_14b,1,179.16472614097768
qwen_14b,2,100.2131053634351
qwen_14b,3,66.4302540974497
qwen_14b,4,41.17036535432371
qwen_14b,5,-5.4777319087542935
